452 4
2.87506 1.50006 | -0.0170426 -0.94304 -106.078 -0.15486 
2.87506 1.62506 | -0.0161362 -1.91964 -93.5785 -0.345462 
2.87494 1.74994 | -0.0149202 -2.97181 -81.0093 -0.607735 
2.81244 1.68744 | -0.0163732 -1.70236 -38.5782 -0.453494 
2.75006 1.68756 | -0.0170972 -1.02654 18.7264 
2.75006 1.75006 | -0.0164487 -1.56367 24.9764 
2.75604 1.79669 | -0.0158478 -2.0397 24.0036 
2.79095 1.83441 | -0.0149829 -2.75717 -4.70508 -0.74567 
2.84344 1.76215 | -0.0151997 -2.70317 -56.8563 -0.623946 
2.91876 1.83185 | -0.0133415 -4.25114 -97.6793 -0.795908 
2.99689 1.87811 | -0.0115513 -5.71955 -112.159 -0.891805 
2.9256 1.97101 | -0.0112905 -5.66171 -86.7904 -0.982555 
2.86432 1.93463 | -0.01269 -4.54482 -55.2279 -0.932854 
2.81537 1.93134 | -0.0133647 -3.94199 -16.7302 -0.902008 
2.79095 1.89227 | -0.0142153 -3.29625 1.08106 
2.77509 1.93524 | -0.013787 -3.53483 20.0076 
2.63751 1.83368 | -0.0165703 -1.22832 130.795 
2.49994 1.99994 | -0.0152013 -1.73508 199.994 
2.37494 1.99994 | -0.0157949 -0.975634 156.007 
2.31244 1.93744 | -0.0169354 -0.0620779 101.079 
2.37494 1.87494 | -0.0176385 0.235265 
2.37189 1.75739 | -0.0190978 1.31858 
2.49994 1.74994 | -0.018576 0.608597 
2.40375 1.59784 | -0.0205021 2.48525 
2.24994 1.74994 | -0.0194507 1.91047 
2.13263 1.61774 | -0.0207096 3.33516 
2.00006 1.75006 | -0.0190746 2.34322 
2.12506 1.87506 | -0.0178868 1.10175 
2.18756 1.93756 | -0.0170585 0.370343 
2.18744 1.99994 | -0.0160994 -0.243371 -7.47299 -0.378289 
2.12494 1.99994 | -0.0160446 -0.107791 -56.1202 -0.392942 
2.00006 2.00006 | -0.0156993 -0.000610387 -99.9939 -0.458304 
2.02582 2.20636 | -0.012069 -2.17469 -77.396 -0.264325 
2.08429 2.13788 | -0.01357 -1.47565 -65.6677 -0.400541 
2.12506 2.18756 | -0.0126911 -2.07217 -37.2766 -0.368204 
2.20038 2.22821 | -0.0119278 -2.69113 26.7959 
2.41266 2.05157 | -0.014796 -1.70495 183.122 
2.27448 2.15778 | -0.0132712 -2.16316 88.7396 
2.45636 2.40082 | -0.00742316 -5.8561 234.473 
2.21234 2.42657 | -0.00745362 -5.03378 57.4828 
2.18744 2.31244 | -0.0101232 -3.61242 23.777 
2.16571 2.32538 | -0.00982348 -3.70916 6.74875 
2.07343 2.33734 | -0.00940434 -3.69535 -50.5881 -0.131771 
2.10321 2.42462 | -0.00740934 -4.77095 -27.0932 -0.0684664 
2.09918 2.58136 | -0.00331681 -6.72686 -13.6737 -0.00937996 
2.23907 2.52484 | -0.00493269 -6.33398 92.1818 
2.12506 2.62506 | -0.00213585 -7.33598 6.4734 
2.22821 2.63788 | -0.0018171 -7.75767 93.3026 
2.23907 2.72516 | 0.000776359 
2.09918 2.66864 | -0.000829319 -7.87241 -4.94568 -0.00235767 
2.04071 2.73712 | 0.00138116 
2.10321 2.82538 | 0.00401223 
2.3526 2.98016 | 0.00942269 
2.44525 2.69464 | 0.000441003 
2.40485 2.70343 | 0.000522643 
